ALB                    CARICA BATTERIA BC 12V
CFS                    RELÈ DI FASE
AMC1                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AMC2                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AB1                    CARICABATTERIE BATTERIA EMERGENZA 12V
BE                     BATTERIA EMERGENZA 12V 7AH
BC                     BATTERIA ALLARME 12V 7AH
F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A TR2
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5 - F6                FUSIBILE MOTORE PORTE TRIFASE
F7                     FUSIBILE 4A OPERATORE PORTE ELETTRONICO
F8                     FUSIBILE PATTINO RETRATTILE
F9                     FUSIBILE 4A PROTEZIONE CIRCUITO VALVOLE
F10                    FUSIBILE 4A PROTEZIONE +12V BATTERIA EMERGENZA
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
TR2                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
BOX A3                 BOX CONTROLLO VALVOLE A3
X1 - X2                RELÈ TEST A3
RM - RM1               RELE'MANUTENZIONE
BYPASS 1-2             COMMUTATORI BYPASS CABINA-BLOCCHI EN81-20
MCP2015X-SMD           SCHEDA MADRE
PER..B-SMD             SCHEDA PERIFERICA CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
SMS-START              SOFT STARTER (SMS)
ECA-CEX                CONTROLLO ACCESSO FOSSA
RX                     RELÈ CEX
Y                      TELERUTTORE STELLA
P                      TELERUTTORE PROTEZIONE
DS1 - DS2              TELERUTTOR1 DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELÈ BASSA VELOCITÀ
RP                     RELÈ PATTINO
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
TM                     RELÈ TENSIONE MANOVRA
EM - EM1               RELÈ EMERGENZA
RSS                    RELÈ SICUREZZA
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD3                    RADDRIZZATORE VALVOLE > 48V
RD4                    RADDRIZZATORE PATTINO
